Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Car,CouncilArea,Regionname,Propertycount
Albert Park,29 Faussett St,2,h,S,Greg,10/09/2016,3.3,3206.0,1.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,3 Herbert St,3,h,VB,Cayzer,10/09/2016,3.3,3206.0,1.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,24 Kerferd Pl,3,h,S,Marshall,10/09/2016,3.3,3206.0,1.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,5 Withers St,3,h,SN,Marshall,10/09/2016,3.3,3206.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,44 Draper St,2,h,PI,Greg,10/12/2016,3.3,3206.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,2 Dundas Pl,3,h,S,Cayzer,10/12/2016,3.3,3206.0,1.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,23 Finlay St,5,h,S,Greg,10/12/2016,3.3,3206.0,1.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,31 Richardson St,3,h,S,hockingstuart,10/12/2016,3.3,3206.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,4a Gatehouse La,3,h,S,Greg,12/06/2016,3.3,3206.0,2.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,60 Brooke St,2,h,S,Cayzer,12/11/2016,3.3,3206.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,140 Danks St,2,h,SP,Marshall,13/08/2016,3.3,3206.0,2.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,70 Barrett St,3,h,S,Greg,15/10/2016,3.3,3206.0,1.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,65 Graham St,2,h,S,Greg,15/10/2016,3.3,3206.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,1 Herbert Pl,2,h,S,hockingstuart,15/10/2016,3.3,3206.0,1.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,364 Montague St,2,h,S,Greg,15/10/2016,3.3,3206.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,86 Mills St,3,h,VB,RT,16/04/2016,3.3,3206.0,1.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,28 Dinsdale St,4,h,S,Marshall,17/09/2016,3.3,3206.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,90 Danks St,3,h,S,Marshall,18/03/2017,3.3,3206.0,2.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,129 Kerferd Rd,3,h,S,Greg,18/03/2017,3.3,3206.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,97 Page St,3,h,S,Greg,18/03/2017,3.3,3206.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,36 Ashworth St,3,h,SP,Marshall,18/06/2016,3.3,3206.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,55 Withers St,4,h,VB,Cayzer,18/06/2016,3.3,3206.0,1.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,18 Herbert St,3,h,SN,Cayzer,19/11/2016,3.3,3206.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,10/140 Kerferd Rd,2,u,S,Greg,22/05/2016,3.3,3206.0,1.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,9 Merton Pl,3,h,SP,Marshall,22/05/2016,3.3,3206.0,1.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,55 Merton St,3,h,SP,Marshall,23/04/2016,3.3,3206.0,1.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,16 Dinsdale St,3,h,S,Greg,24/09/2016,3.3,3206.0,1.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,51 Graham St,2,h,PI,Marshall,24/09/2016,3.3,3206.0,1.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,143 Kerferd Rd,7,h,SN,hockingstuart,24/09/2016,3.3,3206.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,49 Page St,3,h,PI,Marshall,24/09/2016,3.3,3206.0,1.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,13/52 Moubray St,1,u,S,Marshall,25/02/2017,3.3,3206.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,115 Page St,4,h,S,Marshall,25/02/2017,3.3,3206.0,1.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,32 Page St,2,h,S,Greg,25/02/2017,3.3,3206.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,34 Richardson St,3,h,S,hockingstuart,25/02/2017,3.3,3206.0,1.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,2b Dundas Pl,3,h,S,Chisholm,26/07/2016,3.3,3206.0,1.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,22 Greig St,3,h,S,Greg,26/07/2016,3.3,3206.0,2.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,27 Barrett St,4,h,S,Greg,27/06/2016,3.3,3206.0,1.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,3 Faussett St,2,u,PI,Marshall,27/06/2016,3.3,3206.0,2.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,44 Greig St,2,h,S,Marshall,27/11/2016,3.3,3206.0,1.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,6 Brooke St,2,h,S,Greg,28/05/2016,3.3,3206.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,7 Herbert Pl,2,h,SP,Marshall,28/05/2016,3.3,3206.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,8 Kerferd Pl,4,h,SP,Marshall,28/05/2016,3.3,3206.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,5 Reed St,3,h,SN,Greg,28/05/2016,3.3,3206.0,1.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,227a Danks St,3,h,S,hockingstuart,28/08/2016,3.3,3206.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,17 Reed St,3,h,PI,Marshall,28/08/2016,3.3,3206.0,2.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,74 Bridport St,3,h,VB,Buxton,30/07/2016,3.3,3206.0,1.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,9 Durham St,1,h,S,Marshall,30/07/2016,3.3,3206.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
Alphington,30 Austin St,3,h,SN,McGrath,3/09/2016,6.4,3078.0,1.0,Darebin City Council,Northern Metropolitan,2211.0
Alphington,6 Smith St,4,h,S,Brace,3/09/2016,6.4,3078.0,4.0,Darebin City Council,Northern Metropolitan,2211.0
Alphington,5/6 Yarralea St,3,h,S,Jellis,3/09/2016,6.4,3078.0,2.0,Darebin City Council,Northern Metropolitan,2211.0
