,clarity,price,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,carat,depth,table,x,y,z
43,4,2535,0,0,0,0,1,0,0,0,1,0,0,0,-0.20343990112716046,0.9894086775952813,-0.6585805629476299,-0.10636877899466356,-0.15422677786709285,-0.009353911425330687
44,3,745,0,0,1,0,0,0,1,0,0,0,0,0,-0.9719180850236822,0.23467339512432486,-1.561920310319407,-1.1053194957802686,-1.0969555714814831,-1.067141065549688
45,2,9208,0,0,1,0,0,0,0,0,0,0,0,1,2.0166081856850138,0.23467339512432486,-1.561920310319407,1.8015370945057707,1.7765543090546878,1.8164156970632865
46,4,605,0,0,1,0,0,0,0,0,1,0,0,0,-1.0573045499010736,0.028836499904970444,-1.1102504366335184,-1.2763110599147418,-1.269184870314881,-1.2555141203937517
47,2,919,0,0,1,0,0,0,0,0,0,1,0,0,-0.7797985390495518,0.4405102903436744,-0.6585805629476299,-0.8083341475467103,-0.8340792732620859,-0.7628461308015854
48,6,2606,0,0,1,0,0,0,0,0,0,0,1,0,-0.18209328490781262,0.37189799193722295,-0.6585805629476299,-0.025372774930966,-0.0001268789108937107,0.03411679353868436
49,4,1695,0,0,1,0,0,0,0,0,1,0,0,0,-0.5663323768560734,0.09744879831142192,-1.1102504366335184,-0.4573514632706873,-0.4352324759636896,-0.4295707260774721
50,1,15897,0,0,0,1,0,0,0,0,1,0,0,0,2.5716202073880567,0.23467339512432486,0.6964290581100357,2.152519778781793,2.075689407028484,2.135200866799394
51,1,2341,0,0,0,1,0,0,1,0,0,0,0,0,-0.13940005246911694,-1.137572573004685,0.6964290581100357,0.12761967718935177,0.08145542053650531,-0.0383343814013405
52,5,2545,0,0,1,0,0,0,1,0,0,0,0,0,-0.6090256092947691,-0.7258987825659812,0.24475918442414724,-0.48435013129191934,-0.507750075472489,-0.5744730759575212
53,2,4729,0,0,0,1,0,0,1,0,0,0,0,0,0.24483903947914407,-1.3434094682240396,0.6964290581100357,0.4966014734795302,0.4531081180191016,0.2949410233227727
54,4,491,0,0,1,0,0,0,0,0,0,0,1,0,-1.0573045499010736,0.1660610967178734,0.24475918442414724,-1.3033097279359738,-1.296378970130681,-1.2700043553817562
55,3,5264,0,0,0,0,1,0,0,0,0,1,0,0,0.5863848989887094,0.6463471855630288,-0.20691068926174133,0.6765925936210808,0.7250491161770987,0.787609012914939
56,3,3384,0,0,1,0,0,1,0,0,0,0,0,0,-0.07536020381107339,-0.38283729053372867,-0.20691068926174133,0.16361790121766187,0.14490832010670412,0.10656796847870859
57,5,2450,0,1,0,0,0,0,0,0,0,0,1,0,-0.18209328490781262,1.2638578712210824,-0.20691068926174133,-0.03437233093804333,-0.06357977848109331,0.10656796847870859
58,2,4385,0,0,0,1,0,0,1,0,0,0,0,0,0.22349242325979624,-0.10838809690792763,-0.20691068926174133,0.4696028054582974,0.41684931826470195,0.4253531382148166
59,4,7877,0,0,0,0,1,1,0,0,0,0,0,0,0.43695858545327443,0.6463471855630288,1.1480989317959243,0.5236001415007622,0.5709492172209003,0.6282164280468853
60,3,6288,0,0,1,0,0,0,0,0,0,1,0,0,0.6290781314274051,-0.31422499212728205,-0.6585805629476299,0.7575885976847784,0.8156961155630974,0.744138307950924
61,6,1040,1,0,0,0,0,0,0,1,0,0,0,0,-0.9719180850236822,-4.499575194920759,0.6964290581100357,-0.9073292636245633,-0.8703380730164855,-1.3279652953337757
62,1,2575,0,0,1,0,0,1,0,0,0,0,0,0,-0.20343990112716046,-0.31422499212728205,-0.20691068926174133,0.001625893090266783,0.027067220904905428,-0.023844146413335272
63,2,3959,0,0,0,1,0,0,0,0,0,0,1,0,0.4583052016726223,0.6463471855630288,0.6964290581100357,0.6315948135856926,0.5709492172209003,0.6861773679989043
64,6,2509,0,0,1,0,0,0,0,0,1,0,0,0,-0.4169060633206387,-0.1770003953143791,-0.6585805629476299,-0.2593612311149813,-0.23580907731449188,-0.2701781412094184
65,3,561,0,0,1,0,0,0,0,0,1,0,0,0,-1.0146113174623779,0.028836499904970444,-1.1102504366335184,-1.186315499843966,-1.178537870928882,-1.1685727104657222
66,3,2759,0,0,0,0,1,0,1,0,0,0,0,0,-0.18209328490781262,0.4405102903436744,-0.20691068926174133,-0.04337188694512146,-0.0001268789108937107,0.03411679353868436
67,6,1046,0,0,1,0,0,0,0,0,1,0,0,0,-1.0359579336817257,-0.03977579850147615,-0.20691068926174133,-1.2133141678651989,-1.2601201703762812,-1.2265336504177418
68,3,767,0,0,1,0,0,0,1,0,0,0,0,0,-0.9505714688043344,0.5091225887501258,-1.1102504366335184,-1.1053194957802686,-1.0969555714814831,-1.0381605955736783
69,1,593,0,0,0,0,1,0,0,0,0,1,0,0,-0.8224917714882474,-0.1770003953143791,0.6964290581100357,-0.8353328155679431,-0.8250145733234853,-0.8352973057416095
70,5,485,0,0,0,0,1,0,1,0,0,0,0,0,-1.1853842472171605,0.783571782375927,-0.20691068926174133,-1.5912955201624546,-1.5773846682272776,-1.5018481151898346
71,3,6403,0,0,1,0,0,0,0,1,0,0,0,0,0.5436916665500137,0.6463471855630288,-0.6585805629476299,0.71259081764939,0.7794373158086977,0.8310797178789541
72,5,642,0,0,0,0,1,0,1,0,0,0,0,0,-1.099997782339769,-1.8236955570691902,0.6964290581100357,-1.312309283943052,-1.269184870314881,-1.443887175237815
73,3,1656,0,0,1,0,0,0,1,0,0,0,0,0,-0.6090256092947691,-0.03977579850147615,-1.561920310319407,-0.5383474673343849,-0.4986853755338892,-0.5165121360055015
74,2,4944,0,0,0,0,1,0,0,0,0,1,0,0,0.8852375260595787,1.195245572814631,0.24475918442414724,0.9015814937980188,0.8156961155630974,1.0194527727230176
75,2,10078,0,1,0,0,0,0,0,0,0,1,0,0,1.5469826288593616,1.4010824680339804,1.1480989317959243,1.4145561862014369,1.3686428118176919,1.5990621722432126
76,2,1112,0,0,0,1,0,0,0,1,0,0,0,0,-0.5876789930754213,0.1660610967178734,0.6964290581100357,-0.4933496872989975,-0.5258794753496884,-0.4875316660294917
77,3,2903,0,0,0,1,0,0,1,0,0,0,0,0,-0.16074666868846477,-0.4514495889401801,0.6964290581100357,0.06462278513980887,0.018002520966305717,-0.009353911425330687
78,5,779,0,0,1,0,0,0,1,0,0,0,0,0,-1.0573045499010736,-0.03977579850147615,-1.652254285056586,-1.2763110599147418,-1.2601201703762812,-1.2555141203937517
79,1,4419,0,0,1,0,0,0,0,0,1,0,0,0,0.5863848989887094,0.4405102903436744,-0.20691068926174133,0.7485890416777002,0.770372615870098,0.8165894828909481
80,1,2694,0,0,1,0,0,0,0,1,0,0,0,0,-0.07536020381107339,-0.1770003953143791,-1.1102504366335184,0.12761967718935177,0.15397302004530464,0.12105820346671382
81,3,1928,0,0,1,0,0,1,0,0,0,0,0,0,-0.5236391444173777,-0.1770003953143791,-0.6585805629476299,-0.4303527952494546,-0.4080383761478897,-0.4295707260774721
82,2,1057,0,0,1,0,0,0,0,0,0,0,1,0,-0.5449857606367255,0.1660610967178734,-1.1102504366335184,-0.4663510192777647,-0.4352324759636896,-0.4295707260774721
83,1,3802,1,0,0,0,0,0,0,0,0,0,1,0,0.47965181789197014,2.567491540943641,-0.20691068926174133,0.41560546941583265,0.4621728179577013,0.7731187779269344
84,3,698,0,0,0,0,1,0,0,0,1,0,0,0,-1.0359579336817257,0.9207963791888298,0.24475918442414724,-1.2403128358864317,-1.296378970130681,-1.1685727104657222
85,2,5212,1,0,0,0,0,0,1,0,0,0,0,0,0.43695858545327443,-2.9901046299788505,2.0514386791677013,0.7305899296635455,0.7794373158086977,0.3384117282867871
86,3,746,0,0,1,0,0,0,0,1,0,0,0,0,-0.9078782363656387,-0.24561269372083058,-0.6585805629476299,-1.0243234917165709,-0.9972438721568839,-1.023670360585673
87,1,1232,0,1,0,0,0,1,0,0,0,0,0,0,-0.6090256092947691,1.6755316616597864,-0.6585805629476299,-0.6103439153910051,-0.6437205745514878,-0.4440609610654773
88,1,3536,1,0,0,0,0,0,0,0,0,1,0,0,0.2661856556984919,1.8813685568791358,1.1480989317959243,0.2986112413238242,0.2536847193699031,0.512294548142846
89,3,11364,0,1,0,0,0,0,0,0,0,1,0,0,1.6110224775174051,-0.5200618873466316,1.5997688054818129,1.5225508582863672,1.5771309104054894,1.4541598223631642
90,5,1858,0,1,0,0,0,0,0,0,1,0,0,0,-0.6303722255141169,1.2638578712210824,-0.20691068926174133,-0.5833452473697723,-0.6255911746742876,-0.4585511960534819
91,2,8794,0,0,0,1,0,0,0,0,0,0,1,0,1.5256360126400137,0.5777348871565774,1.1480989317959243,1.450554410229747,1.395836911633491,1.4976305273271793
92,5,1418,0,0,0,0,1,0,0,1,0,0,0,0,-0.6944120741721604,-0.5886741857530831,0.6964290581100357,-0.6643412514334699,-0.6346558746128873,-0.7048851908495657
93,7,1367,0,0,1,0,0,0,0,0,1,0,0,0,-0.8224917714882474,-0.5200618873466316,-0.20691068926174133,-0.8443323715750204,-0.8340792732620859,-0.8787680107056239
94,4,2625,0,1,0,0,0,0,0,0,1,0,0,0,-0.20343990112716046,1.744143960066233,-0.20691068926174133,-0.12436789100881901,-0.08170917835829354,0.10656796847870859
95,4,645,0,0,0,0,1,0,0,0,1,0,0,0,-1.0146113174623779,0.8521840807823784,-1.1102504366335184,-1.2403128358864317,-1.2238613706218815,-1.1395922404897123
96,2,5768,0,0,1,0,0,0,0,0,0,1,0,0,0.9279307584982744,0.8521840807823784,-1.1102504366335184,0.9465792738334062,0.8972784150104964,1.0629234776870313
97,2,4724,0,0,0,0,1,0,0,0,1,0,0,0,0.5223450503306658,-1.7550832586627387,1.5997688054818129,0.8115859337272431,0.8610196152560967,0.5847457230828703
98,1,5834,0,0,0,0,1,0,0,0,0,0,1,0,1.2267833855691443,0.30328569353077633,0.6964290581100357,1.2075663980386544,1.3051899122474924,1.2947672374951098
99,1,3746,0,0,0,1,0,0,0,1,0,0,0,0,0.24483903947914407,-2.4412062427272434,1.5997688054818129,0.7665881536918556,0.6162727169138996,0.3384117282867871
100,6,790,0,0,1,0,0,0,0,0,0,0,1,0,-0.8438383877075951,0.8521840807823784,-1.1102504366335184,-0.925328375638718,-0.9065968727708843,-0.8208070707536043
101,4,4284,0,1,0,0,0,0,0,0,1,0,0,0,0.24483903947914407,1.2638578712210824,1.1480989317959243,0.2716125733025922,0.3443317187559026,0.468823843178831
102,5,7769,0,1,0,0,0,0,1,0,0,0,0,0,0.4583052016726223,1.744143960066233,0.24475918442414724,0.550598809521995,0.498431617712101,0.7586285429389286
103,1,4455,0,0,0,1,0,0,0,0,0,1,0,0,0.47965181789197014,0.6463471855630288,0.6964290581100357,0.6135957015715379,0.5528198173437,0.6716871330108998
104,1,4291,0,0,0,1,0,0,0,0,0,0,1,0,1.0560104558143615,-0.4514495889401801,2.0514386791677013,1.1445695059891114,1.0967018136596949,1.0484332426990268
105,3,3177,0,0,1,0,0,1,0,0,0,0,0,0,-0.11805343624976908,-0.4514495889401801,-1.561920310319407,0.11862012118227444,0.14490832010670412,0.07758749850269878
106,3,3876,0,0,0,1,0,0,0,0,0,0,1,0,0.35157212057588305,-0.7945110809724326,1.1480989317959243,0.6045961455644605,0.6706609165454988,0.5267847831308506
107,6,945,0,0,1,0,0,0,0,1,0,0,0,0,-0.9505714688043344,-0.1770003953143791,-1.1102504366335184,-1.0963199397731913,-1.0606967717270834,-1.0816313005376927
108,1,1098,0,1,0,0,0,0,1,0,0,0,0,0,-0.6303722255141169,-2.4412062427272434,0.6964290581100357,-0.4393523512565319,-0.41710307608649017,-0.6903949558615604
109,3,6048,0,0,0,1,0,0,0,0,1,0,0,0,0.43695858545327443,-0.10838809690792763,0.24475918442414724,0.6315948135856926,0.5981433170366994,0.5992359580708755
110,6,10808,0,0,0,0,1,0,0,0,0,0,0,1,1.9312217208076223,0.783571782375927,1.1480989317959243,1.6485446423854522,1.7040367095458886,1.7874352270872762
111,1,1792,0,0,0,1,0,0,0,1,0,0,0,0,-0.20343990112716046,-0.38283729053372867,0.6964290581100357,0.019625005104421438,-0.009191578849494229,-0.0383343814013405
112,3,1626,0,0,1,0,0,0,0,0,0,1,0,0,-0.6303722255141169,-0.03977579850147615,-1.1102504366335184,-0.5563465793485396,-0.5349441752882889,-0.5454926059815114
113,4,3300,0,0,1,0,0,0,0,0,1,0,0,0,-0.20343990112716046,-0.6572864841595345,-0.6585805629476299,0.001625893090266783,0.06332602065930508,-0.0383343814013405
114,4,8192,0,0,0,0,1,1,0,0,0,0,0,0,0.5223450503306658,0.37189799193722295,0.6964290581100357,0.5955965895573824,0.6797256164840992,0.6861773679989043
115,1,643,0,0,0,1,0,1,0,0,0,0,0,0,-0.9292248525849865,0.8521840807823784,0.6964290581100357,-1.0873203837661138,-1.1241496712972823,-1.0091801255976685
116,3,5572,0,0,0,1,0,0,0,0,0,1,0,0,0.43695858545327443,-1.6178586618498405,1.5997688054818129,0.7035912616423128,0.661596216606899,0.4543336081908264
117,3,906,0,0,1,0,0,0,0,1,0,0,0,0,-0.9505714688043344,0.5777348871565774,-0.6585805629476299,-1.0873203837661138,-1.1241496712972823,-1.0381605955736783
118,3,3596,0,0,0,0,1,0,0,0,1,0,0,0,0.09541272594370914,0.028836499904970444,-0.20691068926174133,0.28061212930966956,0.30807291900150297,0.2949410233227727
119,2,4688,0,0,0,0,1,0,0,0,0,1,0,0,0.47965181789197014,0.9894086775952813,-0.20691068926174133,0.6405943695927706,0.5890786170980997,0.744138307950924
120,6,1084,0,0,0,1,0,0,1,0,0,0,0,0,-0.9719180850236822,-0.03977579850147615,0.24475918442414724,-1.1233186077944233,-1.178537870928882,-1.1395922404897123
121,4,9836,0,0,1,0,0,0,0,1,0,0,0,0,0.9279307584982744,0.5091225887501258,-1.561920310319407,1.0095761658829483,0.987925414396496,1.0629234776870313
122,1,3864,0,0,0,1,0,0,0,1,0,0,0,0,0.2661856556984919,-1.686470960256292,1.5997688054818129,0.5685979215361504,0.5074963176507007,0.30943125831077734
123,1,4436,0,0,0,1,0,0,1,0,0,0,0,0,0.5223450503306658,-1.137572573004685,1.1480989317959243,0.7215903736564682,0.7069197162998984,0.5557652531068604
124,3,900,0,0,1,0,0,0,1,0,0,0,0,0,-1.0146113174623779,-0.10838809690792763,-1.1102504366335184,-1.1773159438368888,-1.1966672708060817,-1.1830629454537267
125,3,3653,0,0,0,0,1,0,0,1,0,0,0,0,0.010026261066317996,0.37189799193722295,-0.20691068926174133,0.16361790121766187,0.1902318197997043,0.22248984838274785
126,3,660,0,0,1,0,0,0,0,1,0,0,0,0,-1.0146113174623779,-0.24561269372083058,-0.20691068926174133,-1.1953150558510435,-1.178537870928882,-1.1975531804417319
127,3,1624,0,0,1,0,0,0,1,0,0,0,0,0,-0.6303722255141169,0.5777348871565774,-1.561920310319407,-0.5833452473697723,-0.562138275104088,-0.502021901017497
128,2,5050,0,0,0,0,1,0,0,0,0,1,0,0,0.500998434111318,-0.9317356777853356,1.1480989317959243,0.6135957015715379,0.7250491161770987,0.5412750181188558
129,3,6563,0,1,0,0,0,1,0,0,0,0,0,0,0.4583052016726223,0.5091225887501258,2.0514386791677013,0.47860236146537477,0.5528198173437,0.5847457230828703
130,4,1632,0,0,1,0,0,0,0,0,1,0,0,0,-0.6090256092947691,-1.0689602745982336,-0.6585805629476299,-0.4933496872989975,-0.4442971759022893,-0.5744730759575212
131,3,3256,0,0,1,0,0,0,0,0,0,0,0,1,0.24483903947914407,0.23467339512432486,-0.6585805629476299,0.4066059134087545,0.4440434180805011,0.4543336081908264
132,5,6371,0,0,0,0,1,0,0,0,1,0,0,0,0.4583052016726223,0.23467339512432486,2.50310855285359,0.5865970335503051,0.5256257175279001,0.5847457230828703
133,5,2515,0,0,1,0,0,0,1,0,0,0,0,0,-0.43825267953998653,0.028836499904970444,-0.6585805629476299,-0.30435901115036956,-0.2811325770074913,-0.28466837619742363
134,3,558,0,0,0,1,0,0,0,0,0,0,1,0,-1.0359579336817257,-0.6572864841595345,0.24475918442414724,-1.222313723872276,-1.2601201703762812,-1.2844945903697613
135,4,1076,0,0,0,1,0,0,0,1,0,0,0,0,-0.8224917714882474,0.6463471855630288,0.24475918442414724,-0.8623314835891759,-0.8975321728322846,-0.8063168357655998
136,3,963,0,0,0,1,0,1,0,0,0,0,0,0,-0.7797985390495518,-1.4120217666304862,0.6964290581100357,-0.7183385874759355,-0.7615616737532865,-0.8787680107056239
137,2,924,0,1,0,0,0,1,0,0,0,0,0,0,-0.8438383877075951,1.2638578712210824,-0.20691068926174133,-0.925328375638718,-0.9609850724024842,-0.8063168357655998
138,4,6176,0,0,0,1,0,0,0,1,0,0,0,0,0.4583052016726223,0.5777348871565774,0.24475918442414724,0.6765925936210808,0.5800139171595,0.7006676029869089
139,3,802,0,0,1,0,0,0,0,1,0,0,0,0,-1.0359579336817257,0.1660610967178734,-0.6585805629476299,-1.2043146118581216,-1.2510554704376815,-1.1975531804417319
140,3,772,0,1,0,0,0,0,1,0,0,0,0,0,-0.8224917714882474,-2.5098185411336953,0.6964290581100357,-0.7543368115042456,-0.7071734741216866,-0.9801996556216587
141,2,9705,0,0,0,1,0,0,1,0,0,0,0,0,1.6964089423947963,-2.0295324522885445,0.6964290581100357,1.7655388704774606,1.7040367095458886,1.3961988824111446
142,2,851,0,0,0,0,1,1,0,0,0,0,0,0,-0.9292248525849865,0.9207963791888298,-1.1102504366335184,-1.0243234917165709,-1.0788261716042828,-0.9512191856456488
143,4,752,0,0,1,0,0,1,0,0,0,0,0,0,-1.0359579336817257,-0.8631233793788841,-0.20691068926174133,-1.2043146118581216,-1.1966672708060817,-1.2700043553817562
144,2,732,0,0,1,0,0,1,0,0,0,0,0,0,-1.0359579336817257,0.5777348871565774,-0.20691068926174133,-1.2583119479005864,-1.296378970130681,-1.2120434154297366
145,2,3013,0,0,0,1,0,1,0,0,0,0,0,0,0.22349242325979624,0.30328569353077633,1.1480989317959243,0.31661035333797966,0.2899435191243027,0.3384117282867871
146,6,721,0,0,0,0,1,1,0,0,0,0,0,0,-1.121344398559117,0.37189799193722295,-1.561920310319407,-1.3933052880067494,-1.3779612695780799,-1.342455530321781
147,3,958,0,0,1,0,0,0,1,0,0,0,0,0,-0.8011451552688996,0.4405102903436744,-1.1102504366335184,-0.8443323715750204,-0.8159498733848856,-0.7773363657895899
148,2,18371,0,0,0,1,0,0,0,0,0,1,0,0,2.5716202073880567,0.8521840807823784,-0.6585805629476299,2.0265259946827086,1.994107107581085,2.135200866799394
149,2,1110,0,0,0,1,0,0,0,1,0,0,0,0,-0.6730654579528126,-0.7945110809724326,2.0514386791677013,-0.6013443593839278,-0.6618499744286872,-0.7048851908495657
150,7,988,0,0,0,1,0,0,0,0,1,0,0,0,-1.0359579336817257,-0.5200618873466316,0.6964290581100357,-1.2313132798793536,-1.269184870314881,-1.2844945903697613
151,4,7848,0,0,0,1,0,0,0,0,0,0,0,1,1.5256360126400137,0.37189799193722295,0.6964290581100357,1.423555742208514,1.4592898112036907,1.4831402923391734
152,2,2239,0,0,0,1,0,0,0,1,0,0,0,0,-0.20343990112716046,-1.6178586618498405,1.1480989317959243,0.03762411711857609,0.008937821027706003,-0.16874649629338437
153,2,756,0,0,1,0,0,1,0,0,0,0,0,0,-0.8011451552688996,0.09744879831142192,-1.1102504366335184,-0.8443323715750204,-0.8068851734462859,-0.8063168357655998
154,1,9664,0,0,0,1,0,0,0,0,1,0,0,0,2.0806480343430573,0.6463471855630288,0.6964290581100357,1.7475397584633052,1.749360209238888,1.8309059320512913
155,4,6974,0,0,0,1,0,1,0,0,0,0,0,0,0.500998434111318,-1.4806340650369376,1.5997688054818129,0.8025863777201657,0.7613079159314983,0.5702554880948657
156,2,7580,0,0,0,1,0,0,0,0,0,0,1,0,1.3762096991045787,0.783571782375927,0.6964290581100357,1.324560626130662,1.287060512370293,1.4106891173991492
157,4,3002,0,1,0,0,0,0,0,1,0,0,0,0,-0.16074666868846477,1.4010824680339804,0.24475918442414724,-0.04337188694512146,-0.09077387829689326,0.10656796847870859
